filename,label
be_020sg_2_167.jpg,185
bc_020sg_4_151.jpg,193
bc_019tg_5_74.jpg,180
bc_002sg_5_107.jpg,181
bc_017tg_4_5.jpg,185
bc_018tg_3_341.jpg,193
bc_005sg_8_109.jpg,180
bc_011tg_8_26.jpg,193
bc_008tg_8_178.jpg,185
be_018sg_5_70.jpg,180
bl_004tg_11_59.jpg,180
bc_017tg_5_129.jpg,186
ce_001sg_2_170.jpg,181
bc_012sg_4_99.jpg,185
be_008tg_4_322.jpg,186
be_002tg_10_99.jpg,186
bl_002tg_3_126.jpg,190
be_016sg_9_318.jpg,192
bl_004sg_11_47.jpg,187
be_005sg_2_55.jpg,193
be_014tg_2_306.jpg,194
be_020sg_6_343.jpg,183
be_003tg_4_483.jpg,185
bc_016sg_5_320.jpg,167
bc_007sg_6_278.jpg,185
bc_004tg_3_147.jpg,195
bc_020sg_4_390.jpg,167
bc_019sg_6_95.jpg,162
bc_005tg_4_224.jpg,161
bc_008tg_8_248.jpg,187
bc_007sg_6_319.jpg,185
bl_002sg_3_98.jpg,170
be_001tg_2_428.jpg,162
bc_019sg_8_178.jpg,183
be_019tg_4_47.jpg,185
bl_007sg_8_119.jpg,181
bc_001sg_3_17.jpg,192
bc_019tg_7_385.jpg,167
be_003sg_4_426.jpg,168
bc_005sg_4_305.jpg,182
bl_005tg_7_23.jpg,185
be_018tg_3_113.jpg,194
bl_001sg_9_47.jpg,180
bc_020sg_3_136.jpg,183
be_006tg_8_288.jpg,185
bc_002tg_4_175.jpg,195
bc_006sg_3_227.jpg,167
be_020tg_5_226.jpg,181
bl_010tg_6_58.jpg,185
bc_007sg_6_273.jpg,193
be_013sg_2_77.jpg,185
be_007tg_4_156.jpg,187
bl_005tg_7_3.jpg,182
bc_002tg_4_214.jpg,161
bl_003tg_3_130.jpg,170
bc_001tg_9_160.jpg,161
bc_019tg_7_296.jpg,186
bc_001sg_9_252.jpg,167
bc_014sg_6_12.jpg,161
bl_009sg_3_334.jpg,193
be_007sg_3_86.jpg,185
be_003sg_4_396.jpg,185
bc_017tg_8_188.jpg,167
be_013sg_1_240.jpg,164
bc_008sg_14_70.jpg,190
be_009tg_2_267.jpg,185
be_007tg_3_305.jpg,194
be_008sg_4_12.jpg,187
be_019sg_8_44.jpg,170
be_009tg_4_56.jpg,193
be_012tg_4_166.jpg,194
